"Country or Area","Year","Area","Sex","Age","Occupation","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2016","Total","Both Sexes","45 - 49","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","43815","1"
"Australia","2016","Total","Both Sexes","45 - 49","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","33635","1"
"Australia","2016","Total","Both Sexes","45 - 49","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","47840","1"
"Australia","2016","Total","Both Sexes","45 - 49","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","3081","1"
"Australia","2016","Total","Both Sexes","45 - 49","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","31892","1"
"Australia","2016","Total","Both Sexes","45 - 49","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","24991","1"
"Australia","2016","Total","Both Sexes","45 - 49","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","32459","1"
"Australia","2016","Total","Both Sexes","45 - 49","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","23485","1"
"Australia","2016","Total","Both Sexes","45 - 49","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","8728","1"
"Australia","2016","Total","Both Sexes","45 - 49","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","389707","1"
"Australia","2016","Total","Both Sexes","50 - 54","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","447","1"
"Australia","2016","Total","Both Sexes","50 - 54","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","51318","1"
"Australia","2016","Total","Both Sexes","50 - 54","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","76523","1"
"Australia","2016","Total","Both Sexes","50 - 54","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","42765","1"
"Australia","2016","Total","Both Sexes","50 - 54","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","35242","1"
"Australia","2016","Total","Both Sexes","50 - 54","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","48363","1"
"Australia","2016","Total","Both Sexes","50 - 54","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","3590","1"
"Australia","2016","Total","Both Sexes","50 - 54","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","32795","1"
"Australia","2016","Total","Both Sexes","50 - 54","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","28143","1"
"Australia","2016","Total","Both Sexes","50 - 54","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","35069","1"
"Australia","2016","Total","Both Sexes","50 - 54","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","23000","1"
"Australia","2016","Total","Both Sexes","50 - 54","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","8735","1"
"Australia","2016","Total","Both Sexes","50 - 54","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","385990","1"
"Australia","2016","Total","Both Sexes","55 - 59","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","256","1"
"Australia","2016","Total","Both Sexes","55 - 59","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","38253","1"
"Australia","2016","Total","Both Sexes","55 - 59","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","59595","1"
"Australia","2016","Total","Both Sexes","55 - 59","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","33114","1"
"Australia","2016","Total","Both Sexes","55 - 59","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","29347","1"
"Australia","2016","Total","Both Sexes","55 - 59","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","39513","1"
"Australia","2016","Total","Both Sexes","55 - 59","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","3273","1"
"Australia","2016","Total","Both Sexes","55 - 59","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","26637","1"
"Australia","2016","Total","Both Sexes","55 - 59","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","24713","1"
"Australia","2016","Total","Both Sexes","55 - 59","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","31359","1"
"Australia","2016","Total","Both Sexes","55 - 59","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","20131","1"
"Australia","2016","Total","Both Sexes","55 - 59","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","6890","1"
"Australia","2016","Total","Both Sexes","55 - 59","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","313081","1"
"Australia","2016","Total","Both Sexes","60 - 64","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","70","1"
"Australia","2016","Total","Both Sexes","60 - 64","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","23374","1"
"Australia","2016","Total","Both Sexes","60 - 64","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","40246","1"
"Australia","2016","Total","Both Sexes","60 - 64","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","21314","1"
"Australia","2016","Total","Both Sexes","60 - 64","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","20560","1"
"Australia","2016","Total","Both Sexes","60 - 64","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","26711","1"
"Australia","2016","Total","Both Sexes","60 - 64","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","2846","1"
"Australia","2016","Total","Both Sexes","60 - 64","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","18554","1"
"Australia","2016","Total","Both Sexes","60 - 64","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","16975","1"
"Australia","2016","Total","Both Sexes","60 - 64","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","22915","1"
"Australia","2016","Total","Both Sexes","60 - 64","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","15941","1"
"Australia","2016","Total","Both Sexes","60 - 64","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","4701","1"
"Australia","2016","Total","Both Sexes","60 - 64","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","214207","1"
"Australia","2016","Total","Both Sexes","65 - 69","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","24","1"
"Australia","2016","Total","Both Sexes","65 - 69","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","12216","1"
"Australia","2016","Total","Both Sexes","65 - 69","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","21560","1"
"Australia","2016","Total","Both Sexes","65 - 69","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","10133","1"
"Australia","2016","Total","Both Sexes","65 - 69","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","10434","1"
"Australia","2016","Total","Both Sexes","65 - 69","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","12835","1"
"Australia","2016","Total","Both Sexes","65 - 69","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","2256","1"
"Australia","2016","Total","Both Sexes","65 - 69","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","8643","1"
"Australia","2016","Total","Both Sexes","65 - 69","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","7396","1"
"Australia","2016","Total","Both Sexes","65 - 69","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","10140","1"
"Australia","2016","Total","Both Sexes","65 - 69","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","3875","1"
"Australia","2016","Total","Both Sexes","65 - 69","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","2687","1"
"Australia","2016","Total","Both Sexes","65 - 69","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","102199","1"
"Australia","2016","Total","Both Sexes","70 - 74","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","3","1"
"Australia","2016","Total","Both Sexes","70 - 74","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","4114","1"
"Australia","2016","Total","Both Sexes","70 - 74","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","7654","1"
"Australia","2016","Total","Both Sexes","70 - 74","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","3039","1"
"Australia","2016","Total","Both Sexes","70 - 74","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","3332","1"
"Australia","2016","Total","Both Sexes","70 - 74","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","4127","1"
"Australia","2016","Total","Both Sexes","70 - 74","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","1348","1"
"Australia","2016","Total","Both Sexes","70 - 74","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","2422","1"
"Australia","2016","Total","Both Sexes","70 - 74","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","2149","1"
"Australia","2016","Total","Both Sexes","70 - 74","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","3370","1"
"Australia","2016","Total","Both Sexes","70 - 74","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","1147","1"
"Australia","2016","Total","Both Sexes","70 - 74","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","1253","1"
"Australia","2016","Total","Both Sexes","70 - 74","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","33958","1"
"Australia","2016","Total","Both Sexes","75 - 79","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","3","1"
"Australia","2016","Total","Both Sexes","75 - 79","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","1324","1"
"Australia","2016","Total","Both Sexes","75 - 79","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","2350","1"
"Australia","2016","Total","Both Sexes","75 - 79","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","831","1"
"Australia","2016","Total","Both Sexes","75 - 79","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","919","1"
"Australia","2016","Total","Both Sexes","75 - 79","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","1198","1"
"Australia","2016","Total","Both Sexes","75 - 79","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","755","1"
"Australia","2016","Total","Both Sexes","75 - 79","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","698","1"
"Australia","2016","Total","Both Sexes","75 - 79","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","491","1"
"Australia","2016","Total","Both Sexes","75 - 79","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","1008","1"
"Australia","2016","Total","Both Sexes","75 - 79","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","362","1"
"Australia","2016","Total","Both Sexes","75 - 79","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","722","1"
"Australia","2016","Total","Both Sexes","75 - 79","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","10661","1"
"Australia","2016","Total","Both Sexes","80 - 84","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","0","1"
"Australia","2016","Total","Both Sexes","80 - 84","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","434","1"
"Australia","2016","Total","Both Sexes","80 - 84","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","705","1"
