"Country or Area","Year","Area","Sex","Age","Educational attainment","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Colombia","2018","Total","Both Sexes","35 - 39","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","5419",""
"Colombia","2018","Total","Both Sexes","35 - 39","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","414359",""
"Colombia","2018","Total","Both Sexes","35 - 39","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","445296",""
"Colombia","2018","Total","Both Sexes","35 - 39","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","179994",""
"Colombia","2018","Total","Both Sexes","35 - 39","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","9231",""
"Colombia","2018","Total","Both Sexes","35 - 39","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","50424",""
"Colombia","2018","Total","Both Sexes","35 - 39","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","3216644",""
"Colombia","2018","Total","Both Sexes","40 - 44","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","106363",""
"Colombia","2018","Total","Both Sexes","40 - 44","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","1455",""
"Colombia","2018","Total","Both Sexes","40 - 44","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","702854",""
"Colombia","2018","Total","Both Sexes","40 - 44","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","317036",""
"Colombia","2018","Total","Both Sexes","40 - 44","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","809492",""
"Colombia","2018","Total","Both Sexes","40 - 44","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","3847",""
"Colombia","2018","Total","Both Sexes","40 - 44","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","287474",""
"Colombia","2018","Total","Both Sexes","40 - 44","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","325466",""
"Colombia","2018","Total","Both Sexes","40 - 44","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","141190",""
"Colombia","2018","Total","Both Sexes","40 - 44","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","8382",""
"Colombia","2018","Total","Both Sexes","40 - 44","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","41105",""
"Colombia","2018","Total","Both Sexes","40 - 44","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","2744664",""
"Colombia","2018","Total","Both Sexes","45 - 49","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","120285",""
"Colombia","2018","Total","Both Sexes","45 - 49","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","1523",""
"Colombia","2018","Total","Both Sexes","45 - 49","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","825441",""
"Colombia","2018","Total","Both Sexes","45 - 49","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","340216",""
"Colombia","2018","Total","Both Sexes","45 - 49","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","707453",""
"Colombia","2018","Total","Both Sexes","45 - 49","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","3210",""
"Colombia","2018","Total","Both Sexes","45 - 49","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","225972",""
"Colombia","2018","Total","Both Sexes","45 - 49","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","256295",""
"Colombia","2018","Total","Both Sexes","45 - 49","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","117926",""
"Colombia","2018","Total","Both Sexes","45 - 49","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","7949",""
"Colombia","2018","Total","Both Sexes","45 - 49","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","39831",""
"Colombia","2018","Total","Both Sexes","45 - 49","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","2646101",""
"Colombia","2018","Total","Both Sexes","50 - 54","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","144099",""
"Colombia","2018","Total","Both Sexes","50 - 54","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","1602",""
"Colombia","2018","Total","Both Sexes","50 - 54","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","885754",""
"Colombia","2018","Total","Both Sexes","50 - 54","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","364702",""
"Colombia","2018","Total","Both Sexes","50 - 54","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","620089",""
"Colombia","2018","Total","Both Sexes","50 - 54","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","2916",""
"Colombia","2018","Total","Both Sexes","50 - 54","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","195005",""
"Colombia","2018","Total","Both Sexes","50 - 54","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","225944",""
"Colombia","2018","Total","Both Sexes","50 - 54","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","108514",""
"Colombia","2018","Total","Both Sexes","50 - 54","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","8178",""
"Colombia","2018","Total","Both Sexes","50 - 54","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","39575",""
"Colombia","2018","Total","Both Sexes","50 - 54","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","2596378",""
"Colombia","2018","Total","Both Sexes","55 - 59","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","160209",""
"Colombia","2018","Total","Both Sexes","55 - 59","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","1606",""
"Colombia","2018","Total","Both Sexes","55 - 59","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","853834",""
"Colombia","2018","Total","Both Sexes","55 - 59","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","320970",""
"Colombia","2018","Total","Both Sexes","55 - 59","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","471190",""
"Colombia","2018","Total","Both Sexes","55 - 59","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","2682",""
"Colombia","2018","Total","Both Sexes","55 - 59","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","148382",""
"Colombia","2018","Total","Both Sexes","55 - 59","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","189949",""
"Colombia","2018","Total","Both Sexes","55 - 59","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","89002",""
"Colombia","2018","Total","Both Sexes","55 - 59","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","7384",""
"Colombia","2018","Total","Both Sexes","55 - 59","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","35591",""
"Colombia","2018","Total","Both Sexes","55 - 59","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","2280799",""
"Colombia","2018","Total","Both Sexes","60 - 64","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","165587",""
"Colombia","2018","Total","Both Sexes","60 - 64","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","1537",""
"Colombia","2018","Total","Both Sexes","60 - 64","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","778649",""
"Colombia","2018","Total","Both Sexes","60 - 64","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","232109",""
"Colombia","2018","Total","Both Sexes","60 - 64","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","298332",""
"Colombia","2018","Total","Both Sexes","60 - 64","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","3264",""
"Colombia","2018","Total","Both Sexes","60 - 64","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","97143",""
"Colombia","2018","Total","Both Sexes","60 - 64","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","150425",""
"Colombia","2018","Total","Both Sexes","60 - 64","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","67899",""
"Colombia","2018","Total","Both Sexes","60 - 64","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","5258",""
"Colombia","2018","Total","Both Sexes","60 - 64","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","24447",""
"Colombia","2018","Total","Both Sexes","60 - 64","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","1824650",""
"Colombia","2018","Total","Both Sexes","65 - 69","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","160166",""
"Colombia","2018","Total","Both Sexes","65 - 69","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","1469",""
"Colombia","2018","Total","Both Sexes","65 - 69","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","673686",""
"Colombia","2018","Total","Both Sexes","65 - 69","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","153288",""
"Colombia","2018","Total","Both Sexes","65 - 69","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","173226",""
"Colombia","2018","Total","Both Sexes","65 - 69","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","3339",""
"Colombia","2018","Total","Both Sexes","65 - 69","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","59504",""
"Colombia","2018","Total","Both Sexes","65 - 69","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","103970",""
"Colombia","2018","Total","Both Sexes","65 - 69","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","41785",""
"Colombia","2018","Total","Both Sexes","65 - 69","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","3085",""
"Colombia","2018","Total","Both Sexes","65 - 69","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","16574",""
"Colombia","2018","Total","Both Sexes","65 - 69","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","1390092",""
"Colombia","2018","Total","Both Sexes","70 - 74","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","146844",""
"Colombia","2018","Total","Both Sexes","70 - 74","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","1207",""
"Colombia","2018","Total","Both Sexes","70 - 74","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","533188",""
"Colombia","2018","Total","Both Sexes","70 - 74","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","91019",""
"Colombia","2018","Total","Both Sexes","70 - 74","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","100838",""
"Colombia","2018","Total","Both Sexes","70 - 74","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","3494",""
"Colombia","2018","Total","Both Sexes","70 - 74","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","33096",""
"Colombia","2018","Total","Both Sexes","70 - 74","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","61623",""
"Colombia","2018","Total","Both Sexes","70 - 74","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","20339",""
"Colombia","2018","Total","Both Sexes","70 - 74","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","1689",""
"Colombia","2018","Total","Both Sexes","70 - 74","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","11082",""
"Colombia","2018","Total","Both Sexes","70 - 74","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","1004419",""
"Colombia","2018","Total","Both Sexes","75 - 79","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","139262",""
"Colombia","2018","Total","Both Sexes","75 - 79","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","1078",""
"Colombia","2018","Total","Both Sexes","75 - 79","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","404672",""
"Colombia","2018","Total","Both Sexes","75 - 79","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","54846",""
"Colombia","2018","Total","Both Sexes","75 - 79","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","59864",""
"Colombia","2018","Total","Both Sexes","75 - 79","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","2557",""
"Colombia","2018","Total","Both Sexes","75 - 79","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","16998",""
"Colombia","2018","Total","Both Sexes","75 - 79","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","32897",""
"Colombia","2018","Total","Both Sexes","75 - 79","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","8795",""
"Colombia","2018","Total","Both Sexes","75 - 79","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","966",""
"Colombia","2018","Total","Both Sexes","75 - 79","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","8698",""
"Colombia","2018","Total","Both Sexes","75 - 79","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","730633",""
"Colombia","2018","Total","Both Sexes","80 - 84","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","111040",""
"Colombia","2018","Total","Both Sexes","80 - 84","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","958",""
"Colombia","2018","Total","Both Sexes","80 - 84","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","270123",""
"Colombia","2018","Total","Both Sexes","80 - 84","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","31859",""
"Colombia","2018","Total","Both Sexes","80 - 84","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","35337",""
"Colombia","2018","Total","Both Sexes","80 - 84","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","1711",""
"Colombia","2018","Total","Both Sexes","80 - 84","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","8245",""
"Colombia","2018","Total","Both Sexes","80 - 84","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","16719",""
"Colombia","2018","Total","Both Sexes","80 - 84","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","3625",""
"Colombia","2018","Total","Both Sexes","80 - 84","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","496",""
"Colombia","2018","Total","Both Sexes","80 - 84","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","6663",""
"Colombia","2018","Total","Both Sexes","80 - 84","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","486776",""
"Colombia","2018","Total","Both Sexes","85 - 89","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","68894",""
"Colombia","2018","Total","Both Sexes","85 - 89","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","562",""
"Colombia","2018","Total","Both Sexes","85 - 89","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","148473",""
"Colombia","2018","Total","Both Sexes","85 - 89","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","15819",""
