Nombre o título de la categoría de información,Descripción del contenido la categoría de información,Idioma,Medio de conservación o soporte,Formato,Disponibilidad de la información,Lugar de consulta o ubicación física,Lugar de publicación
Base de datos de Citación,"Conjunto de datos en el que se encuentra la información de las personas inscritas y citadas a uno de los exámenes que realiza el Icfes para presentarse a la aplicación del mismo, informándole el departamento, ciudad, fecha, hora, sesión, duración de la sesión, sitio, bloque y salón asignados.",Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Informe de Gestión,"Informe de gestión, infografías de seguimiento e informe de empalme, entre otros.",Español,Electrónico - Digital,Texto,Publicada,https://www.icfes.gov.co/informes-de-gestion-evaluacion-y-auditoria,https://www.icfes.gov.co/informes-de-gestion-evaluacion-y-auditoria
Plan estratégico institucional,"Plan estratégico del cuatrienio, informe de seguimiento y actas de reuniones de planeación estratégica.",Español,Electrónico - Digital,Texto,Publicada,https://www.icfes.gov.co/web/guest/politicas-lineamientos-y-manuales,https://www.icfes.gov.co/web/guest/politicas-lineamientos-y-manuales
Informe Administrativo,Es el documento donde que consolida toda la información de la aplicación de los diferentes sitios con base en los informes web de delegado,Español,Electrónico - Digital,Hoja de cálculo,"Ni disponible,Ni publicada",N/A,N/A
BBDD de Inscripción,Información de todas las personas inscritas para aplicar una prueba.,Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Plan anticorrupción y de atención al ciudadano,Plan de acción de anticorrupción y atención al ciudadano para la vigencia,Español,Electrónico - Digital,Texto,Publicada,https://www.icfes.gov.co/web/guest/modelo-integrado-de-planeacion-y-gestion,https://www.icfes.gov.co/web/guest/modelo-integrado-de-planeacion-y-gestion
Informe de seguimiento de indicadores de desempeño,"Medir el cumplimiento de los objetivos institucionales y el desempeño de los procesos que conforman el Sistema Gestión de Calidad del Icfes, con el fin de verificar si estos cumplen con el propósito para el cual fueron establecidos.",Español,Electrónico - Digital,Texto,Publicada,https://www.icfes.gov.co/web/guest/metas-objetivos-e-indicadores-de-gestion,https://www.icfes.gov.co/web/guest/metas-objetivos-e-indicadores-de-gestion
Instrumentos de control de calidad,"Son aquellos documentos que surgen con ocasión al cumplimiento del Sistema de Gestión de Calidad y las normas ISO 9001:2015 en términos del mejoramiento de los procesos del ICFES. Gestión del riesgo y oportunidades, gestión del conocimiento, gestión del cambio, gestión de necesidades y expectativas de las partes interesadas, gestión de salidas no conformes, entre otras herramientas de gestión.",Español,Electrónico - Digital,Texto,Disponible,https://icfes.darumasoftware.com/app.php/,N/A
Informes a otros organismos del estado,"Son informes solicitados por otras organismos del estado. Por ejemplo: FURAG, SIRECI, entre otros.",Español,Físico -Electrónico- Digital,Texto,Disponible,Archivo de gestión OAP,N/A
Manuales institucionales,"Son documentos con lineamientos transversales al Instituto, entre los que se encuentra el Manual del Sistema de Gestión de Calidad, Manual de Riesgos Institucionales, Manual de Gestión del Conocimiento y la Innovación, entre otros",Español,Electrónico - Digital,Texto,Publicada,https://www.icfes.gov.co/web/guest/politicas-lineamientos-y-manuales,https://www.icfes.gov.co/web/guest/politicas-lineamientos-y-manuales
Conceptos administrativos,Documentos que contienen conceptos solicitados a otros organismos de control y del gobierno,Español,Físico -Electrónico- Digital,Texto,Disponible,Archivo de gestión OAP,N/A
Documentos precontractuales,"Documentos que contienen información técnica y económica en respuesta a una solicitud de un cliente para la prestación de un servicio de evaluación. Esta es construida con fundamento en el Brief y la matriz de costeo. Documentos precontractuales entregados por el cliente (Rut, Representante legal, etc)",Español,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Instrumentos de Control,"Documentos utilizados para el control a los procesos realizados por los operadores de impresión, distribución, lectura y logístico de aplicación (actas de reunión, formatos de calidad y comunicaciones oficiales).",Español,Físico -Electrónico- Digital,Texto,No publicada,N/A,N/A
Cronogramas pruebas de Estado y otros proyectos de evaluación,Descripción detallada de las actividades y fechas en las cuales se desarrollan los proyectos de evaluación,Español,Electrónico - Digital,Hoja de cálculo,Publicada,https://www.icfes.gov.co/,https://www.icfes.gov.co/ en la pestaña Exámenes
Actas Comité de Negocios,Documento que contiene la información sobre las decisiones adoptadas en el comité de negocios en relación con los proyectos de evaluación sometidos al mismo.,Español,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Documentos contractuales,"Expediente que contiene: contrato/convenio, acta de inicio, designación de supervisión, informes, productos, modificaciones, facturación, actas de reunión o registros de asistencia, encuesta de satisfacción, acta de terminación y acta de liquidación.",Español,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Acciones Constitucionales,"Acción constitucional (Acción de tutela, popular y de cumplimiento) cuyo objetivo es la protección de los derechos fundamentales, se componen de Auto admisorio de acción de constitucional, Escrito de acción de constitucional, Oficio de contestación a la acción de constitucional, Comunicación oficial externa, Comunicación oficial interna, Fallo de primera instancia, Oficio de cumplimiento de fallo primera instancia, Impugnación de acción de constitucional, Auto concede impugnación, Fallo de segunda instancia, Oficio de cumplimiento de fallo segunda instancia, Auto apertura incidente de desacato, Oficio de contestación al incidente de desacato, Auto que decide incidente de desacato.",Español,Físico,Texto,Disponible,Archivo físico OAJ,N/A
Base de Datos Control Acciones de Tutela,Base de Datos con los datos que se extraen de la acción de tutela con el fin de llevar el control y seguimiento de la dependencia,Español,Electrónico - Digital,Bases de datos,Disponible,\\192.168.200.201\oaj$,N/A
Conciliaciones Prejudiciales,"Se trata de las Actas del Comite de Conciliación y Defensa Judicial, asi como de las fichas de los casos que se presentan con el proposito de dar inicio a un proceso judicial, como requisito de procedibilidad o ánimo de las partes previo al juicio.",Español,Físico,Documentos gráficos,Disponible,Archivo físico OAJ,N/A
Derechos de Petición,Derechos de Petición,Español,Físico -Electrónico- Digital,Documentos gráficos,Disponible,"Archivo físico OAJ, Sistema Orfeo",N/A
Procesos Judiciales,Serie o secuencia de actos procesales el cual es una instancia jurisdiccional bajo el fuero contencioso-administrativo. Inicia con la solicitud de conciliación hasta el fallo o pago de la condena,Español,Físico,Documentos gráficos,Disponible,Archivo físico OAJ,N/A
